Study/Year/Country,Title,Study Design,"double-blind or more? (yes, no)",target diagnosis for  meta analysis,Population,baseline vitamin deficiency prop,Baseline Vitamin/Mineral Level,baseline vitamin/mineral sd,Final Vitamin/Mineral Level,Final Vitamin/Mineral SD,Summary of Study Selection Criteria,psych dx,low vitamin,pop dx,Total Sample Size (N),Intervention,Dose,Frequency,total average daily dose,Number of treatment arms (N),Number in each Treatment Arm (N),Duration (weeks),Scale Name,baseline N,Baseline outcome measure (if recorded),Standard Deviation of baseline outcome (if given),final N,Final Outcome Measures,Standard Deviation of outcome (if given),Standard Error of outcome (if given),Mean Age (Years),Sex (% Male),Key Findings,Adverse Events,Sequence generation risk of bias,allocation concealment risk of bias,blinding of participants risk of bias,blinding of outcome assessers,incomplete outcome risk of bias,selective outcome reporting risk of bias,other sources of bias,overall risk of bias,,flag,gain mean,gain sd,gain se,p,secondary flag,secondary gain mean,secondary gain sd,adverse rate,adverse count,censor direction,prob,total
Siwek/2009/Poland,"Zinc supplementation augments efficacy of imipramine in treatment resistant patients: a double blind, placebo-controlled study",Randomized Controlled Trial,yes,depression,"18-55 years, unknown baseline health",,,,,,Patients who had only DSM-IV criteria for depression both inpatient and outpatient,depression,,,60,"zinc, imipramine","25 mg, 140 mg",daily,"25 mg, 140 mg",2,30,12,Beck Depression Inventory,30,35.65,4.9,27,12.14,5.04026785,0.97,46.2,36.67,Zinc helped improve treatment in treatment resistant depression (seems like a post Hoc analysis),"5 withdrew due to symptoms, 58.3% had side effects (n=19)",some concerns,some concerns,low,some concerns,low,low,low,some concerns,,,,,,,,,,0.703703704,19,,,
Siwek/2009/Poland,"Zinc supplementation augments efficacy of imipramine in treatment resistant patients: a double blind, placebo-controlled study",Randomized Controlled Trial,yes,depression,"18-55 years, unknown baseline health",,,,,,Patients who had only DSM-IV criteria for depression both inpatient and outpatient,depression,,,60,imipramine,140 mg,daily,140 mg,2,30,12,Beck Depression Inventory,30,36.79,4.9,25,14.8,14.05,2.81,45.7,30,Zinc helped improve treatment in treatment resistant depression (seems like a post Hoc analysis),"5 withdrew due to symptoms, 58.3% had side effects (n=16)",some concerns,some concerns,low,some concerns,low,low,low,some concerns,,,,,,,,,,0.64,16,,,
Salari/2015/Iran,"Zinc sulphate: A reasonable choice for depression management in patients with multiple sclerosis: A randomized, double-blind, placebo-controlled clinical trial",Randomized Controlled Trial,yes,depression,"18-55, patients with MS",,,,,,"Patients with MS who have MDD excluded if have other psych disorders, outpatient",depression,,MS,50,zinc,50 mg,daily,50 mg,2,25,12,Beck Depression Inventory,21,23.57,6.35,21,17.4,5.86569689,1.28,33.9,38.1," The results indicated that in the patients who received the zinc supplement, the mean score of
depression was reduced compared to those in the placebo group, whereas the neurological examinations
revealed that there were no differences between the treatment and control groups.Therefore, the zinc supplementation is an appropriate choice for the depression
management in patients with MS",none,some concerns,some concerns,some concerns,some concerns,low,low,low,some concerns,,,,,,,,,,0,0,,,
Salari/2015/Iran,"Zinc sulphate: A reasonable choice for depression management in patients with multiple sclerosis: A randomized, double-blind, placebo-controlled clinical trial",Randomized Controlled Trial,yes,depression,"18-55, patients with MS",,,,,,"Patients with MS who have MDD excluded if have other psych disorders, outpatient",depression,,MS,50,placebo,,daily,,2,25,12,Beck Depression Inventory,22,25.63,8.09,22,25.4,8.161323422,1.74,37.22,22.7," The results indicated that in the patients who received the zinc supplement, the mean score of
depression was reduced compared to those in the placebo group, whereas the neurological examinations
revealed that there were no differences between the treatment and control groups.Therefore, the zinc supplementation is an appropriate choice for the depression
management in patients with MS",none,some concerns,some concerns,some concerns,some concerns,low,low,low,some concerns,,,,,,,,,,0,0,,,
Solati/2015/Iran,"Zinc monotherapy increases serum brain-derived neurotrophic factor (BDNF) levels and decreases depressive symptoms in overweight or obese subjects: a double-blind, randomized, placebo-controlled trial",Randomized Controlled Trial,yes,depression,"18-35, overweight or obese subjects",,zinc: 71.93 ug/dL,zinc: 24.88 ug/dL,zinc: 101.04 ug/dL,zinc: 8.09 ug/dL,"obese or overweight patients, outpatient",none,,obese,46,zinc,30 mg,daily,30 mg,2,22,12,Beck Depression Inventory,22,12.77,9.59,22,8.77,6.71,,29.77,36.36,inconclusive results,none,low,some concerns,low,low,low,some concerns,low,some concerns,,,,,,,,,,0,0,,,
Solati/2015/Iran,"Zinc monotherapy increases serum brain-derived neurotrophic factor (BDNF) levels and decreases depressive symptoms in overweight or obese subjects: a double-blind, randomized, placebo-controlled trial",Randomized Controlled Trial,yes,depression,"18-35, overweight or obese subjects",,zinc: 79.55 ug/dL,zinc: 23.13 ug/dL,zinc: 86.13 ug/dL,zinc: 8.13 ug/dL,"obese or overweight patients, outpatient",none,,obese,46,placebo,,daily,,2,24,12,Beck Depression Inventory,24,16.5,10.91,24,15.41,10.53,,31.29,29.17,inconclusive results,none,low,some concerns,low,low,low,some concerns,low,some concerns,,,,,,,,,,0,0,,,
Heckmann/2005/Germany,Zinc gluconate in the treatment of dysgeusia--a randomized clinical trial,Randomized Controlled Trial,yes,depression,"41-82, all participants had idiopathic dysgeusia",,zinc: 72.78 ug/dL,zinc: 18.38 ug/dL,zinc: 81.53 ug/dL,zinc: 19.61 ug/dL,Patient referred from specialized interdisciplinary consultation unit for the care of patients with orofacial diseases with diagnosis of idopathic dysgeusia between 1999 to 2001,none,,dysgeusia,50,zinc,140 mg,daily,140 mg,2,26,12,Beck Depression Inventory,24,10.6,8.5,24,7.5,7,,61.1,19.23,depression ratings lowered in zinc group,none,low,low,low,low,low,some concerns,low,low,,,,,,,,,,0,0,,,
Heckmann/2005/Germany,Zinc gluconate in the treatment of dysgeusia--a randomized clinical trial,Randomized Controlled Trial,yes,depression,"41-82, all participants had idiopathic dysgeusia",,zinc: 72.78 ug/dL,zinc: 18.38 ug/dL,zinc: 81.53 ug/dL,zinc: 19.61 ug/dL,Patient referred from specialized interdisciplinary consultation unit for the care of patients with orofacial diseases with diagnosis of idopathic dysgeusia between 1999 to 2002,none,,dysgeusia,50,zinc,140 mg,daily,140 mg,2,26,12,von Zersen mood scale (ZMS),24,15.6,11.3,24,10.7,7.5,,61.1,19.23,depression ratings lowered in zinc group,none,low,low,low,low,low,some concerns,low,low,,,,,,,,,,0,0,,,
Heckmann/2005/Germany,Zinc gluconate in the treatment of dysgeusia--a randomized clinical trial,Randomized Controlled Trial,yes,depression,"41-82, all participants had idiopathic dysgeusia",,zinc: 67.9 ug/dL,zinc: 14.64 ug/dL,zinc: 72.01 ug/dL,zinc: 10.22 ug/dL,Patient referred from specialized interdisciplinary consultation unit for the care of patients with orofacial diseases with diagnosis of idopathic dysgeusia between 1999 to 2003,none,,dysgeusia,50,placebo,,daily,,2,24,12,Beck Depression Inventory,26,11.3,10.7,26,11.3,10.9,,61.1,19.23,depression ratings lowered in zinc group,none,low,low,low,low,low,some concerns,low,low,,,,,,,,,,0,0,,,
Heckmann/2005/Germany,Zinc gluconate in the treatment of dysgeusia--a randomized clinical trial,Randomized Controlled Trial,yes,depression,"41-82, all participants had idiopathic dysgeusia",,zinc: 67.9 ug/dL,zinc: 14.64 ug/dL,zinc: 72.01 ug/dL,zinc: 10.22 ug/dL,Patient referred from specialized interdisciplinary consultation unit for the care of patients with orofacial diseases with diagnosis of idopathic dysgeusia between 1999 to 2004,none,,dysgeusia,50,placebo,,daily,,2,24,12,von Zersen mood scale (ZMS),26,18.8,13.3,26,18.8,14.6,,61.1,19.23,depression ratings lowered in zinc group,none,low,low,low,low,low,some concerns,low,low,,,,,,,,,,0,0,,,
