"quality.sequence","quality.concealment","quality.blinding.participants","quality.blinding.outcome","quality.incomplete.outcome","quality.selective.outcome","quality.other","quality.overall"
"some concerns","some concerns","low","some concerns","low","low","low","some concerns"
"some concerns","some concerns","low","some concerns","low","low","low","some concerns"
"some concerns","some concerns","some concerns","some concerns","low","low","low","some concerns"
"some concerns","some concerns","some concerns","some concerns","low","low","low","some concerns"
"low","some concerns","low","low","low","some concerns","low","some concerns"
"low","some concerns","low","low","low","some concerns","low","some concerns"
"low","low","low","low","low","some concerns","low","low"
"low","low","low","low","low","some concerns","low","low"
"low","low","low","low","low","some concerns","low","low"
"low","low","low","low","low","some concerns","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","some concerns","low","low","low","low","low","low"
"low","some concerns","low","low","low","low","low","low"
"high","high","some concerns","some concerns","some concerns","some concerns","low","high"
"high","high","some concerns","some concerns","some concerns","some concerns","low","high"
"low","low","low","low","some concerns","some concerns","low","low"
"low","low","low","low","some concerns","some concerns","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","low","low"
"low","low","low","low","low","low","some concerns","low"
"low","low","low","low","low","low","some concerns","low"
"some concerns","some concerns","some concerns","some concerns","low","low","low","some concerns"
"some concerns","some concerns","some concerns","some concerns","low","low","low","some concerns"
"some concerns","some concerns","some concerns","some concerns","low","low","low","some concerns"
"some concerns","some concerns","some concerns","some concerns","low","low","low","some concerns"
"some concerns","some concerns","some concerns","some concerns","high","some concerns","high","high"
"some concerns","some concerns","some concerns","some concerns","high","some concerns","high","high"
"some concerns","some concerns","some concerns","some concerns","high","some concerns","high","high"
"some concerns","some concerns","some concerns","some concerns","high","some concerns","high","high"
"some concerns","high","high","some concerns","high","some concerns","high","high"
"some concerns","high","high","some concerns","high","some concerns","high","high"
"some concerns","high","high","some concerns","high","some concerns","high","high"
"some concerns","high","high","some concerns","high","some concerns","high","high"
"low","low","low","low","high","low","high","some concerns"
"low","low","low","low","high","low","high","some concerns"
"low","low","low","low","low","some concerns","low","low"
"low","low","low","low","low","low","some concerns","low"
"low","low","low","low","low","low","some concerns","low"
"low","low","low","low","low","some concerns","low","low"
"some concerns","high","low","some concerns","low","some concerns","some concerns","some concerns"
"some concerns","high","low","some concerns","low","some concerns","some concerns","some concerns"
"some concerns","some concerns","some concerns","some concerns","some concerns","low","low","high"
