"study","design","blinded","target","total.N","orig.dose","assigned.N","duration","scale","baseline.outcome.mean","final.outcome.mean","final.outcome.se","age","male","gain.scores","z.A","z.amitriptyline","z.B1","z.B12","z.B2","z.B3","z.B5","z.B6","z.B7","z.B9","z.C","z.calcium","z.citalopram","z.D","z.E","z.fluoxetine","z.imipramine","z.iron","z.magnesium","z.multinutrient","z.none","z.nortriptyline","z.placebo","z.SSRI","z.SSRI_TCA","z.zinc","intervention","quality"
"Siwek/2009/Poland","Randomized Controlled Trial","yes","depression",60,"25 mg, 140 mg",30,12,"Beck Depression Inventory",35.65,12.14,0.97,46.2,0.3667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"z.imipramine,z.zinc","some concerns"
"Siwek/2009/Poland","Randomized Controlled Trial","yes","depression",60,"140 mg",30,12,"Beck Depression Inventory",36.79,14.8,2.81,45.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"z.imipramine","some concerns"
"Salari/2015/Iran","Randomized Controlled Trial","yes","depression",50,"50 mg",25,12,"Beck Depression Inventory",23.57,17.4,1.28,33.9,0.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"z.zinc","some concerns"
"Salari/2015/Iran","Randomized Controlled Trial","yes","depression",50,"",25,12,"Beck Depression Inventory",25.63,25.4,1.74,37.22,0.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Solati/2015/Iran","Randomized Controlled Trial","yes","depression",46,"30 mg",22,12,"Beck Depression Inventory",12.77,8.77,1.43057680674615,29.77,0.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"z.zinc","some concerns"
"Solati/2015/Iran","Randomized Controlled Trial","yes","depression",46,"",24,12,"Beck Depression Inventory",16.5,15.41,2.14942724929224,31.29,0.2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Heckmann/2005/Germany","Randomized Controlled Trial","yes","depression",50,"140 mg",26,12,"Beck Depression Inventory",10.6,7.5,1.37281294596729,61.1,0.1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"z.zinc","low"
"Heckmann/2005/Germany","Randomized Controlled Trial","yes","depression",50,"140mg",26,12,"von Zersen mood scale (ZMS)",15.6,10.7,1.47087101353638,61.1,0.1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"z.zinc","low"
"Heckmann/2005/Germany","Randomized Controlled Trial","yes","depression",50,"",24,12,"Beck Depression Inventory",11.3,11.3,2.22495318302805,61.1,0.1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Heckmann/2005/Germany","Randomized Controlled Trial","yes","depression",50,"",24,12,"von Zersen mood scale (ZMS)",18.8,18.8,2.9802125203862,61.1,0.1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
