Month,nutritional psychiatry: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,20
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,29
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,11
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,10
2015-05,0
2015-06,9
2015-07,9
2015-08,0
2015-09,0
2015-10,0
2015-11,11
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,10
2017-02,0
2017-03,17
2017-04,8
2017-05,10
2017-06,0
2017-07,8
2017-08,0
2017-09,0
2017-10,9
2017-11,9
2017-12,0
2018-01,11
2018-02,0
2018-03,15
2018-04,11
2018-05,13
2018-06,16
2018-07,12
2018-08,14
2018-09,13
2018-10,15
2018-11,7
2018-12,13
2019-01,16
2019-02,15
2019-03,25
2019-04,20
2019-05,17
2019-06,15
2019-07,16
2019-08,18
2019-09,21
2019-10,23
2019-11,36
2019-12,17
2020-01,17
2020-02,22
2020-03,12
2020-04,15
2020-05,15
2020-06,12
2020-07,18
2020-08,18
2020-09,17
2020-10,8
2020-11,12
2020-12,15
2021-01,12
2021-02,15
2021-03,18
2021-04,19
2021-05,17
2021-06,17
2021-07,11
2021-08,15
2021-09,14
2021-10,12
2021-11,19
2021-12,14
2022-01,18
2022-02,17
2022-03,22
2022-04,24
2022-05,22
2022-06,18
2022-07,11
2022-08,19
2022-09,21
2022-10,15
2022-11,15
2022-12,20
2023-01,17
2023-02,17
2023-03,18
2023-04,13
2023-05,16
2023-06,18
2023-07,11
2023-08,13
2023-09,20
2023-10,25
2023-11,18
2023-12,20
2024-01,21
2024-02,23
2024-03,26
2024-04,21
2024-05,25
2024-06,18
2024-07,18
2024-08,25
2024-09,17
2024-10,18
2024-11,16
2024-12,16
2025-01,25
2025-02,18
2025-03,25
2025-04,24
2025-05,28
2025-06,25
2025-07,28
2025-08,73
2025-09,69
2025-10,66
2025-11,80
2025-12,79
2026-01,84
2026-02,100
2026-03,66
2026-04,40
